【  央视频道  】,#genre#
CCTV2_电信,http://222.182.59.240:4022/rtp/235.254.198.52:1484
CCTV2_电信,http://171.214.224.243:55555/udp/239.93.1.23:6000
CCTV2_电信,http://36.47.83.186:8010/rtp/239.112.205.78:5140
CCTV2_移动,http://112.46.85.60:8002/hls/502/index.m3u8
CCTV2_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV2_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV2_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV2_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV2_联通,http://211.158.154.206:8009/udp/225.0.4.132:7980
CCTV2_联通,http://221.219.76.222:4000/rtp/239.3.1.60:8084
CCTV2_联通,http://221.15.7.42:8888/rtp/225.1.4.74:1103
CCTV2_联通,http://221.15.4.150:8888/rtp/225.1.4.74:1103
CCTV2_联通,http://114.246.174.75:4022/rtp/239.3.1.60:8084
CCTV2_联通,http://27.10.15.209:8005/udp/225.0.4.132:7980
CCTV2_联通,http://123.115.195.226:8888/rtp/239.3.1.60:8084
CCTV2_联通,http://114.250.19.220:33333/rtp/239.3.1.60:8084
CCTV2_联通,http://27.10.213.1:8002/udp/225.0.4.132:7980
CCTV2_联通,http://123.145.79.12:8002/udp/225.0.4.132:7980
CCTV2_联通,http://114.254.94.104:2222/rtp/239.3.1.60:8084
CCTV2_联通,http://114.243.104.69:8821/rtp/239.3.1.60:8084
CCTV2_联通,http://123.145.70.8:8005/udp/225.0.4.132:7980
CCTV2_联通,http://119.166.177.210:8888/udp/239.253.254.232:8000
CCTV2_联通,http://114.254.84.178:2222/rtp/239.3.1.60:8084
CCTV2_联通,http://124.64.236.210:8012/rtp/239.3.1.60:8084
CCTV2高清_联通,http://221.218.212.142:8012/rtp/239.3.1.60:8084
CETV2_电信,http://113.116.4.70:808/hls/78/index.m3u8
CETV2_联通,http://175.147.76.205:8888/rtp/232.0.0.238:1234
CETV2_联通,http://119.118.170.190:8888/rtp/232.0.0.238:1234
CETV2_联通,http://119.117.154.112:4022/rtp/232.0.0.238:1234
CETV2_联通,http://1.24.190.98:10080/hls/18/index.m3u8
CCTV3_其他,http://1.193.57.68:8800/rtp/239.16.20.253:12530
CCTV3_广电,http://1.193.57.68:8800/rtp/239.16.20.253:12530
CCTV3_电信,http://121.63.199.107:88/hls/3/index.m3u8
CCTV3_电信,http://113.15.187.233:8181/tsfile/live/0003_1.m3u8
CCTV3_电信,http://125.80.158.131:7788/rtp/235.254.198.53:1488
CCTV3_电信,http://171.221.58.164:4000/udp/239.93.1.11:2223
CCTV3_电信,http://113.251.180.215:4022/rtp/235.254.198.53:1488
CCTV3_电信,http://221.234.167.24:8888/rtp/239.69.1.122:10370
CCTV3_电信,http://117.66.231.30:2000/rtp/238.1.78.170:7232
CCTV3_电信,http://183.133.104.64:8899/rtp/233.50.201.196:5140
CCTV3_电信,http://171.221.58.141:4000/udp/239.93.1.11:2223
CCTV3_电信,http://114.100.195.107:4022/rtp/238.1.78.170:7232
CCTV3_电信,http://183.142.58.169:8881/rtp/233.50.201.196:5140
CCTV3_电信,http://182.138.136.29:8888/udp/239.93.1.11:2223
CCTV3_电信,http://183.142.58.169:8888/rtp/233.50.201.196:5140
CCTV3_电信,http://59.174.209.2:4022/rtp/239.69.1.122:10370
CCTV3_电信,http://171.110.178.134:8088/udp/239.81.0.231:4056
CCTV3_电信,http://58.48.199.143:8888/rtp/239.69.1.122:10370
CCTV3_移动,http://117.141.149.101:4431/tsfile/live/faacts/1012_1.m3u8
CCTV3_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV3_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV3_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV3_联通,http://123.112.50.33:8888/rtp/239.3.1.172:8001
CCTV3_联通,http://211.158.154.206:8009/udp/225.0.4.142:7980
CCTV3_联通,http://111.196.150.10:20002/rtp/239.3.1.172:8001
CCTV3_联通,http://27.10.1.116:8004/udp/225.0.4.142:7980
CCTV3_联通,http://221.218.211.229:58888/rtp/239.3.1.172:8001
CCTV3_联通,http://114.250.19.220:33333/rtp/239.3.1.172:8001
CCTV3_联通,http://123.145.79.12:8002/udp/225.0.4.142:7980
CCTV3_联通,http://27.11.40.250:8003/udp/225.0.4.142:7980
CCTV3_联通,http://119.166.177.210:8888/udp/239.253.254.191:8000
CCTV3_联通,http://114.254.83.72:2222/rtp/239.3.1.172:8001
CCTV3_联通,http://123.115.195.226:8888/rtp/239.3.1.172:8001
CCTV3_联通,http://114.243.96.158:8821/rtp/239.3.1.172:8001
CCTV3_联通,http://221.219.76.222:4000/rtp/239.3.1.172:8001
CCTV3_联通,http://27.10.213.1:8001/udp/225.0.4.142:7980
CCTV3_联通,http://114.243.104.69:8821/rtp/239.3.1.172:8001
CCTV3_联通,http://123.145.70.8:8005/udp/225.0.4.142:7980
CCTV3高清_联通,http://221.218.212.142:8012/rtp/239.3.1.172:8001
CCTV4_其他,http://113.160.152.31:5050/udp/232.84.3.183:11020
CCTV4_电信,http://14.19.199.43:5555/udp/239.77.1.163:5146
CCTV4_电信,http://125.92.140.53:8888/udp/239.77.1.166:5146
CCTV4_电信,http://14.19.199.43:5555/udp/239.77.1.166:5146
CCTV4_电信,http://61.140.233.25:4000/udp/239.77.1.166:5146
CCTV4_电信,http://14.19.199.43:5555/udp/239.77.0.78:5146
CCTV4_电信,http://125.92.140.53:8888/udp/239.77.1.163:5146
CCTV4_电信,http://116.21.123.201:8000/udp/239.77.1.166:5146
CCTV4_电信,http://125.92.140.53:8888/udp/239.77.0.78:5146
CCTV4_电信,http://125.80.158.131:7788/rtp/235.254.198.183:7980
CCTV4_电信,http://223.247.88.164:8888/rtp/238.1.78.236:7760
CCTV4_电信,http://106.8.191.222:8189/rtp/239.254.201.205:4220
CCTV4_电信,http://171.221.58.141:4000/udp/239.93.1.105:5140
CCTV4_电信,http://116.21.123.201:8000/udp/239.77.1.163:5146
CCTV4_电信,http://117.66.231.30:2000/rtp/238.1.78.236:7760
CCTV4_电信,http://171.221.58.164:4000/udp/239.93.1.105:5140
CCTV4_电信,http://61.150.11.175:4444/rtp/239.112.205.202:5140
CCTV4_移动,http://120.224.7.90:809/hls/216/index.m3u8
CCTV4_移动,http://112.46.85.60:8002/hls/4/index.m3u8
CCTV4_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV4_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV4_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV4_联通,http://114.254.89.130:8020/rtp/239.3.1.105:8092
CCTV4_联通,http://114.254.89.130:8020/rtp/239.3.1.213:4220
CCTV4_联通,http://123.112.50.33:8888/rtp/239.3.1.105:8092
CCTV4_联通,http://123.112.50.33:8888/rtp/239.3.1.213:4220
CCTV4_联通,http://123.145.70.8:8005/udp/225.0.4.176:7980
CCTV4_联通,http://27.11.40.250:8003/udp/225.0.4.176:7980
CCTV4_联通,http://123.115.195.226:8888/rtp/239.3.1.105:8092
CCTV4_联通,http://221.218.211.229:58888/rtp/239.3.1.213:4220
CCTV4_联通,http://124.64.236.210:8012/rtp/239.3.1.105:8092
CCTV4_联通,http://114.250.19.220:33333/rtp/239.3.1.105:8092
CCTV4_联通,http://221.15.4.150:8888/rtp/225.1.5.30:1333
CCTV4_联通,http://221.218.211.229:58888/rtp/239.3.1.105:8092
CCTV4_联通,http://114.246.174.75:4022/rtp/239.3.1.213:4220
CCTV4_联通,http://211.158.154.206:8009/udp/225.0.4.176:7980
CCTV4_联通,http://221.15.7.42:8888/rtp/225.1.5.31:1342
CCTV4_联通,http://123.115.195.226:8888/rtp/239.3.1.213:4220
CCTV4北美_电信,http://123.168.95.193:4000/udp/239.21.2.29:5002
CCTV4美洲_电信,http://106.40.103.226:8888/udp/239.29.1.142:5000
CCTV4美洲_电信,http://106.8.191.222:8189/rtp/239.254.201.206:4220
CCTV4美洲_电信,http://118.250.108.154:8888/udp/239.76.246.96:1234
CCTV4美洲_电信,http://118.254.159.80:8888/udp/239.76.246.96:1234
CCTV4美洲_联通,http://124.64.236.210:8012/rtp/239.3.1.214:4220
CCTV4美洲_联通,http://123.112.50.33:8888/rtp/239.3.1.214:4220
CCTV4美洲_联通,http://221.218.211.229:58888/rtp/239.3.1.214:4220
CCTV4美洲_联通,http://114.243.96.158:8821/rtp/239.3.1.214:4220
CCTV4美洲_联通,http://114.246.174.75:4022/rtp/239.3.1.214:4220
CCTV4美洲_联通,http://123.115.195.226:8888/rtp/239.3.1.214:4220
CCTV4美洲_联通,http://1.26.24.63:9999/udp/239.125.2.197:4120
CCTV4美洲_联通,http://114.250.19.220:33333/rtp/239.3.1.214:4220
CCTV4美洲_联通,http://221.15.4.150:8888/rtp/225.1.5.32:1343
