【  卫视频道  】,#genre#
东北_新疆卫视_电信,http://123.179.59.173:8888/udp/239.29.1.59:5001
东北_新疆卫视_电信,http://36.49.52.39:8800/rtp/239.37.0.039:5540
东北_新疆卫视_联通,http://1.26.27.107:9999/udp/239.125.1.123:4130
东北_新疆卫视_联通,http://116.116.207.159:5555/udp/239.125.1.123:4130
东北_新疆卫视_联通,http://116.95.218.18:9999/udp/239.125.1.123:4130
东北_新疆卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.18:1234
东北_江苏卫视_电信,http://123.179.59.173:8888/udp/239.29.0.102:5000
东北_江苏卫视_电信,http://36.49.52.39:8800/rtp/239.37.0.112:5540
东北_江苏卫视_电信,http://36.49.52.39:8800/rtp/239.37.0.055:5540
东北_江苏卫视_联通,http://1.26.27.107:9999/udp/239.125.2.69:4120
东北_江苏卫视_联通,http://116.95.218.18:9999/udp/239.125.2.69:4120
东北_江苏卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.116:1234
东北_江苏卫视_联通,http://116.116.207.159:5555/udp/239.125.2.69:4120
东北_江苏卫视_联通,http://116.116.207.159:5555/udp/239.125.1.172:4130
东北_江苏卫视_联通,http://116.95.218.18:9999/udp/239.125.1.172:4130
东北_江苏卫视_联通,http://1.26.27.107:9999/udp/239.125.1.172:4130
东北_江苏卫视_联通,http://1.24.190.98:10080/hls/61/index.m3u8
东北_江西卫视_电信,http://123.179.59.173:8888/udp/239.29.0.125:5000
东北_江西卫视_电信,http://36.49.52.39:8800/rtp/239.37.0.156:5540
东北_江西卫视_联通,http://116.95.218.18:9999/udp/239.125.1.174:4130
东北_江西卫视_联通,http://1.26.27.107:9999/udp/239.125.1.174:4130
东北_江西卫视_联通,http://116.116.207.159:5555/udp/239.125.1.174:4130
东北_江西卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.82:1234
东北_河北卫视_电信,http://123.179.59.173:8888/udp/239.29.0.124:5000
东北_河北卫视_联通,http://116.95.218.18:9999/udp/239.125.2.70:4120
东北_河北卫视_联通,http://116.116.207.159:5555/udp/239.125.2.70:4120
东北_河北卫视_联通,http://1.26.27.107:9999/udp/239.125.2.70:4120
东北_河北卫视_联通,http://116.116.207.159:5555/udp/239.125.1.169:4130
东北_河北卫视_联通,http://116.95.218.18:9999/udp/239.125.1.169:4130
东北_河北卫视_联通,http://1.26.27.107:9999/udp/239.125.1.169:4130
东北_河北卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.49:1234
东北_河南卫视_电信,http://123.179.59.173:8888/udp/239.29.1.69:5001
东北_河南卫视_电信,http://36.49.52.39:8800/rtp/239.37.0.155:5540
东北_河南卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.80:1234
东北_河南卫视_联通,http://116.116.207.159:5555/udp/239.125.1.156:4130
东北_河南卫视_联通,http://116.95.218.18:9999/udp/239.125.1.156:4130
东北_河南卫视_联通,http://1.26.27.107:9999/udp/239.125.1.156:4130
东北_浙江卫视_电信,http://123.179.59.173:8888/udp/239.29.0.96:5000
东北_浙江卫视_联通,http://116.95.218.18:9999/udp/239.125.2.68:4120
东北_浙江卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.123:1234
东北_浙江卫视_联通,http://116.116.207.159:5555/udp/239.125.2.68:4120
东北_浙江卫视_联通,http://1.26.27.107:9999/udp/239.125.2.68:4120
东北_浙江卫视_联通,http://116.116.207.159:5555/udp/239.125.1.159:4130
东北_浙江卫视_联通,http://116.95.218.18:9999/udp/239.125.1.159:4130
东北_浙江卫视_联通,http://1.26.27.107:9999/udp/239.125.1.159:4130
东北_浙江卫视_联通,http://1.24.190.98:10080/hls/63/index.m3u8
东北_海南卫视_电信,http://123.179.59.173:8888/udp/239.29.1.126:5000
东北_海南卫视_联通,http://116.95.218.18:9999/udp/239.125.2.189:4120
东北_海南卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.26:1234
东北_海南卫视_联通,http://116.116.207.159:5555/udp/239.125.2.189:4120
东北_海南卫视_联通,http://116.116.207.159:5555/udp/239.125.1.165:4130
东北_海南卫视_联通,http://1.26.27.107:9999/udp/239.125.1.165:4130
东北_海南卫视_联通,http://116.95.218.18:9999/udp/239.125.1.165:4130
东北_海南卫视_联通,http://1.24.190.98:10080/hls/99/index.m3u8
东北_深圳卫视_电信,http://123.179.59.173:8888/udp/239.29.0.105:5000
东北_深圳卫视_联通,http://1.24.190.98:10080/hls/76/index.m3u8
东北_深圳卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.110:1234
东北_深圳卫视_联通,http://116.116.207.159:5555/udp/239.125.2.76:4120
东北_深圳卫视_联通,http://116.95.218.18:9999/udp/239.125.2.76:4120
东北_深圳卫视_联通,http://1.26.27.107:9999/udp/239.125.2.76:4120
东北_深圳卫视_联通,http://116.116.207.159:5555/udp/239.125.1.166:4130
东北_深圳卫视_联通,http://116.95.218.18:9999/udp/239.125.1.166:4130
东北_深圳卫视_联通,http://1.26.27.107:9999/udp/239.125.1.166:4130
东北_湖北卫视_电信,http://123.179.59.173:8888/udp/239.29.0.107:5000
东北_湖北卫视_联通,http://116.95.218.18:9999/udp/239.125.1.152:4130
东北_湖北卫视_联通,http://1.26.27.107:9999/udp/239.125.1.152:4130
东北_湖北卫视_联通,http://1.26.27.107:9999/udp/239.125.2.74:4120
东北_湖北卫视_联通,http://116.116.207.159:5555/udp/239.125.2.74:4120
东北_湖北卫视_联通,http://116.116.207.159:5555/udp/239.125.1.152:4130
东北_湖北卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.124:1234
东北_湖北卫视_联通,http://116.95.218.18:9999/udp/239.125.2.74:4120
东北_湖北卫视_联通,http://1.24.190.98:10080/hls/65/index.m3u8
东北_湖南卫视_电信,http://123.179.59.173:8888/udp/239.29.0.90:5000
东北_湖南卫视_电信,http://36.49.52.39:8800/rtp/239.37.0.038:5540
东北_湖南卫视_电信,http://36.49.52.39:8800/rtp/239.37.0.010:5540
东北_湖南卫视_联通,http://116.95.218.18:9999/udp/239.125.2.67:4120
东北_湖南卫视_联通,http://1.26.27.107:9999/udp/239.125.2.67:4120
东北_湖南卫视_联通,http://116.116.207.159:5555/udp/239.125.2.67:4120
东北_湖南卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.115:1234
东北_湖南卫视_联通,http://1.26.27.107:9999/udp/239.125.1.170:4130
东北_湖南卫视_联通,http://116.95.218.18:9999/udp/239.125.1.170:4130
东北_湖南卫视_联通,http://116.116.207.159:5555/udp/239.125.1.170:4130
东北_湖南卫视_联通,http://1.24.190.98:10080/hls/60/index.m3u8
东北_甘肃卫视_电信,http://123.179.59.173:8888/udp/239.29.1.124:5000
东北_甘肃卫视_联通,http://116.116.207.159:5555/udp/239.125.1.151:4130
东北_甘肃卫视_联通,http://116.95.218.18:9999/udp/239.125.1.151:4130
东北_甘肃卫视_联通,http://116.2.48.244:6000/rtp/232.0.0.50:1234
东北_西藏卫视_电信,http://123.179.59.173:8888/udp/239.29.1.79:5001
