【  央视_电信  】,#genre#
海南卫视_电信,http://119.98.183.124:8000/rtp/239.69.1.151:10542
海南卫视_电信,http://27.18.190.49:85/rtp/239.69.1.151:10542
深圳卫视_电信,http://27.18.190.49:85/rtp/239.254.96.137:8896
深圳卫视_电信,http://119.98.183.124:8000/rtp/239.254.96.137:8896
深圳卫视_电信,http://59.174.169.143:10000/rtp/239.254.96.137:8896
湖北卫视_电信,http://119.98.183.124:8000/rtp/239.254.96.115:8664
湖北卫视_电信,http://27.18.190.49:85/rtp/239.254.96.115:8664
湖北卫视_电信,http://59.174.169.143:10000/rtp/239.254.96.115:8664
湖南卫视_电信,http://27.18.190.49:85/rtp/239.254.96.139:8908
湖南卫视_电信,http://119.98.183.124:8000/rtp/239.254.96.139:8908
湖南卫视_电信,http://59.174.169.143:10000/rtp/239.254.96.139:8908
贵州卫视_电信,http://119.98.183.124:8000/rtp/239.69.1.150:10536
贵州卫视_电信,http://59.174.169.143:10000/rtp/239.69.1.150:10536
贵州卫视_电信,http://27.18.190.49:85/rtp/239.69.1.150:10536
辽宁卫视_电信,http://27.18.190.49:85/rtp/239.69.1.71:10066
辽宁卫视_电信,http://59.174.169.143:10000/rtp/239.69.1.71:10066
辽宁卫视_电信,http://119.98.183.124:8000/rtp/239.69.1.71:10066
重庆卫视_电信,http://119.98.183.124:8000/rtp/239.69.1.149:10530
重庆卫视_电信,http://27.18.190.49:85/rtp/239.69.1.149:10530
重庆卫视_电信,http://59.174.169.143:10000/rtp/239.69.1.149:10530
黑龙江卫视_电信,http://59.174.169.143:10000/rtp/239.254.96.138:8902
黑龙江卫视_电信,http://119.98.183.124:8000/rtp/239.254.96.138:8902
黑龙江卫视_电信,http://27.18.190.49:85/rtp/239.254.96.138:8902
【  卫视_联通  】,#genre#
三沙卫视_联通,http://183.92.4.163:4000/udp/228.0.0.174:7174
东南卫视_联通,http://183.92.4.163:4000/udp/228.0.0.144:7144
东方卫视_联通,http://183.92.4.163:4000/udp/228.0.0.62:6108
云南卫视_联通,http://183.92.4.163:4000/udp/228.0.0.48:6108
内蒙古卫视_联通,http://183.92.4.163:4000/udp/228.0.0.52:6108
北京卫视_联通,http://183.92.4.163:4000/udp/228.0.0.63:6108
吉林卫视_联通,http://183.92.4.163:4000/udp/228.0.0.45:6108
四川卫视_联通,http://183.92.4.163:4000/udp/228.0.0.231:6108
天津卫视_联通,http://183.92.4.163:4000/udp/228.0.0.120:6108
宁夏卫视_联通,http://183.92.4.163:4000/udp/228.0.0.30:6108
安徽卫视_联通,http://183.92.4.163:4000/udp/228.0.0.122:6108
山东卫视_联通,http://183.92.4.163:4000/udp/228.0.0.121:6108
山西卫视_联通,http://183.92.4.163:4000/udp/228.0.0.47:6108
广东卫视_联通,http://183.92.4.163:4000/udp/228.0.0.66:6108
广西卫视_联通,http://183.92.4.163:4000/udp/228.0.0.37:6108
新疆卫视_联通,http://183.92.4.163:4000/udp/228.0.0.53:6108
江苏卫视_联通,http://183.92.4.163:4000/udp/228.0.0.64:6108
江西卫视_联通,http://183.92.4.163:4000/udp/228.0.0.147:7147
